Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student,General Uni Ranking
2016,10,University of Pennsylvania,Philadelphia,PA,0.0944,1386,66800,51464,51464,0.9526,10698,13244,9
2008,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5558,1241,46521,13642,23290,0.7629,17208,10135,59
2009,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5544,1256,25837,14154,23852,0.7765,17427,10297,58
2010,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5853,1256,26717,14936,24592,0.7836,18031,10452,56
2011,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5777,1262,27864,16132,25540,0.7872,18371,10339,64
2012,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5786,1266,29392,16590,26280,0.7898,18427,10340,58
2013,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5613,1258,30410,17100,27106,0.8044,18429,10034,58
2014,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5312,1275,31828,17772,28168,0.8185,18615,9860,62
2015,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5389,1272,32754,18192,28958,0.8165,18757,18757,62
2016,37,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5541,1194,32191,18618,29758,0.8137,18920,9541,66
2008,43,University of Rochester,Rochester,NY,0.4115,1314,48217,37250,37250,0.837,5131,3930,35
2009,43,University of Rochester,Rochester,NY,0.3869,1334,50550,38690,38690,0.8029,5378,4497,35
2010,43,University of Rochester,Rochester,NY,0.3797,1336,52690,40282,40282,0.8412,5447,4510,35
2011,43,University of Rochester,Rochester,NY,0.341,1337,54730,41826,41826,0.8309,5601,4647,37
2012,43,University of Rochester,Rochester,NY,0.3532,1340,56760,43666,43666,0.854,5643,4725,35
2013,43,University of Rochester,Rochester,NY,0.3568,1353,59156,45372,45372,0.8518,5785,4843,33
2014,43,University of Rochester,Rochester,NY,0.3641,1450,61340,46960,46960,0.8393,6177,4794,32
2015,43,University of Rochester,Rochester,NY,0.3382,1450,63268,48280,48280,0.882,6266,6266,33
2016,44,University of Rochester,Rochester,NY,0.3553,1408,65364,50142,50142,0.8544,6235,4823,33
2008,33,University of Southern California,Los Angeles,CA,0.2194,1367,26275,37693,37693,0.8794,16384,14457,27
2009,33,University of Southern California,Los Angeles,CA,0.244,1360,51740,39183,39183,0.8784,16608,18073,27
2010,33,University of Southern California,Los Angeles,CA,0.2435,1373,53511,41022,41022,0.8888,16751,19516,26
2011,33,University of Southern California,Los Angeles,CA,0.2302,1383,55493,42818,42818,0.9012,17380,20596,23
2012,33,University of Southern California,Los Angeles,CA,0.1993,1377,57772,44463,44463,0.9019,17414,21642,23
2013,33,University of Southern California,Los Angeles,CA,0.1984,1380,59787,46298,46298,0.9117,18316,22923,24
2014,33,University of Southern California,Los Angeles,CA,0.1802,1380,62092,48280,48280,0.9084,18445,23714,23
2015,33,University of Southern California,Los Angeles,CA,0.1768,1391,64536,50277,50277,0.9226,18739,18739,25
2016,34,University of Southern California,Los Angeles,CA,0.1662,1337,67064,52283,52283,0.9203,18557,25077,23
2008,99,University of Vermont,Burlington,VT,0.6481,1184,22554,12844,29682,0.7117,10504,1410,96
2009,99,University of Vermont,Burlington,VT,0.709,1185,23570,13554,31410,0.7307,10937,2009,89
2010,99,University of Vermont,Burlington,VT,0.7058,1188,24874,14066,32630,0.766,11382,1961,88
2011,99,University of Vermont,Burlington,VT,0.7538,1191,26274,14784,34424,0.7233,11593,1996,94
2012,99,University of Vermont,Burlington,VT,0.7665,1191,27315,15284,35612,0.7582,11482,1887,82
2013,99,University of Vermont,Burlington,VT,0.7755,1190,27788,15718,36646,0.7582,11211,1811,92
2014,99,University of Vermont,Burlington,VT,0.7344,1191,28348,16226,37874,0.7558,10912,1864,82
2015,99,University of Vermont,Burlington,VT,0.7085,1211,29332,16768,39160,0.7679,10992,10992,85
2016,99,University of Vermont,Burlington,VT,0.6894,1310,30573,17300,40364,0.7423,10267,1946,89
2008,46,University of Virginia-Main Campus,Charlottesville,VA,0.3668,1328,49820,9300,29600,0.9307,15078,7608,23
2009,46,University of Virginia-Main Campus,Charlottesville,VA,0.3206,1332,20488,9872,31872,0.93,15208,8879,23
2010,46,University of Virginia-Main Campus,Charlottesville,VA,0.326,1336,21142,10828,33774,0.9269,15476,8796,24
2011,46,University of Virginia-Main Campus,Charlottesville,VA,0.3327,1347,22535,11786,36780,0.939,15595,8535,25
2012,46,University of Virginia-Main Campus,Charlottesville,VA,0.2955,1355,23986,12216,38228,0.9343,15762,8085,25
2013,46,University of Virginia-Main Campus,Charlottesville,VA,0.2999,1362,25255,12668,40054,0.9307,15822,7377,24
2014,46,University of Virginia-Main Campus,Charlottesville,VA,0.29,1357,26063,13208,42394,0.9416,16087,7249,23
2015,46,University of Virginia-Main Campus,Charlottesville,VA,0.2979,1364,27010,15192,44365,0.933,16483,16483,23
2016,47,University of Virginia-Main Campus,Charlottesville,VA,0.2986,1495,29572,16412,45756,0.9417,15963,7567,26
2008,20,University of Wisconsin-Madison,Madison,WI,0.6283,1266,46175,7564,21814,0.8134,30166,11258,38
2009,20,University of Wisconsin-Madison,Madison,WI,0.5946,1269,18858,8310,23059,0.81,30362,11729,35
2010,20,University of Wisconsin-Madison,Madison,WI,0.665,1268,20064,8983,24233,0.8298,29925,12010,39
2011,20,University of Wisconsin-Madison,Madison,WI,0.6647,1268,21209,9665,25415,0.8195,30170,12066,45
2012,20,University of Wisconsin-Madison,Madison,WI,0.6862,1269,22394,10378,26628,0.818,30014,11968,42
2013,20,University of Wisconsin-Madison,Madison,WI,0.6792,1268,23718,10403,26653,0.8284,30301,11949,41
2014,20,University of Wisconsin-Madison,Madison,WI,0.5694,1286,23839,10410,26660,0.8368,30728,11904,41
2015,20,University of Wisconsin-Madison,Madison,WI,0.5761,1300,24315,10415,29665,0.8495,30694,30694,47
2016,20,University of Wisconsin-Madison,Madison,WI,0.5262,1459,24594,10488,32738,0.8493,29536,11624,41
2008,47,Vanderbilt University,Nashville,TN,0.2533,1408,51740,37005,37005,0.8945,6532,4194,19
2009,47,Vanderbilt University,Nashville,TN,0.2015,1430,52303,38578,38578,0.9067,6637,5712,18
2010,47,Vanderbilt University,Nashville,TN,0.1795,1433,54718,39930,39930,0.9061,6794,5835,17
2011,47,Vanderbilt University,Nashville,TN,0.1642,1454,56634,41332,41332,0.9185,6879,6019,17
2012,47,Vanderbilt University,Nashville,TN,0.1423,1471,58554,42118,42118,0.9219,6817,5914,17
2013,47,Vanderbilt University,Nashville,TN,0.1274,1475,59890,42978,42978,0.9252,6796,5922,17
2014,47,Vanderbilt University,Nashville,TN,0.1309,1481,61112,43838,43838,0.9286,6835,5835,17
2015,47,Vanderbilt University,Nashville,TN,0.1168,1498,62320,44712,44712,0.9198,6851,6851,16
2016,48,Vanderbilt University,Nashville,TN,0.1075,1205,63532,45610,45610,0.9243,6844,5716,15
2008,74,Wake Forest University,Winston-Salem,NC,0.3838,1314,50550,36975,36975,0.8799,4412,1344,30
2009,74,Wake Forest University,Winston-Salem,NC,0.3752,1450,49820,38622,38622,0.9024,4476,2510,28
2010,74,Wake Forest University,Winston-Salem,NC,0.4028,1450,52082,39970,39970,0.8873,4569,2505,28
2011,74,Wake Forest University,Winston-Salem,NC,0.3985,1450,54135,41576,41576,0.8815,4657,2576,25
2012,74,Wake Forest University,Winston-Salem,NC,0.3397,1450,56236,43200,43200,0.8749,4775,2617,25
2013,74,Wake Forest University,Winston-Salem,NC,0.352,1450,58173,44742,44742,0.8646,4815,2779,27
2014,74,Wake Forest University,Winston-Salem,NC,0.3441,1450,60210,46200,46200,0.8822,4812,2921,23
2015,74,Wake Forest University,Winston-Salem,NC,0.2939,1370,62502,47682,47682,0.881,4861,4861,27
2016,75,Wake Forest University,Winston-Salem,NC,0.3034,1054,64442,49308,49308,0.8833,4949,3013,27
2008,75,Washington State University,Pullman,WA,0.7221,1105,19307,7564,18600,0.6687,20282,3396,118
2009,75,Washington State University,Pullman,WA,0.7626,1086,20525,8489,19565,0.6907,20690,4375,116
2010,75,Washington State University,Pullman,WA,0.6953,1086,22297,9489,20531,0.6895,21726,4491,106
2011,75,Washington State University,Pullman,WA,0.8354,1066,23611,10799,22077,0.6676,21816,4566,111
2012,75,Washington State University,Pullman,WA,0.7601,1050,24939,12300,25382,0.673,22763,4544,115
2013,75,Washington State University,Pullman,WA,0.8208,1030,26292,12327,25409,0.6548,23135,4572,125
2014,75,Washington State University,Pullman,WA,0.8208,1030,26543,12428,25510,0.6724,23070,4819,128
2015,75,Washington State University,Pullman,WA,0.7964,1039,27402,11967,25567,0.6419,23867,23867,138
2016,76,Washington State University,Pullman,WA,0.7204,1229,26441,11041,25673,0.6658,24362,5238,117
2008,30,Washington University in St Louis,Saint Louis,MO,0.217,1453,52303,37248,37248,0.9368,7253,5051,54
2009,30,Washington University in St Louis,Saint Louis,MO,0.2219,1462,52464,38728,38728,0.9325,6985,6529,53
2010,30,Washington University in St Louis,Saint Louis,MO,0.2129,1465,54533,40369,40369,0.9401,7046,6682,53
2011,30,Washington University in St Louis,Saint Louis,MO,0.1652,1467,56930,41992,41992,0.9344,7138,6669,51
2012,30,Washington University in St Louis,Saint Louis,MO,0.1788,1478,58901,43705,43705,0.9402,7239,6693,50
2013,30,Washington University in St Louis,Saint Louis,MO,0.1555,1474,62594,44841,44841,0.9404,7259,6696,51
2014,30,Washington University in St Louis,Saint Louis,MO,0.1713,1478,63755,46467,46467,0.9496,7336,6947,52
2015,30,Washington University in St Louis,Saint Louis,MO,0.1674,1469,65887,48093,48093,0.9264,7401,7401,54
2016,31,Washington University in St Louis,Saint Louis,MO,0.1653,1228,67751,49770,49770,0.9401,7116,7492,57
2008,8,Yale University,New Haven,CT,0.0989,1481,51400,35300,35300,0.9738,5311,4915,3
2009,8,Yale University,New Haven,CT,0.0856,1475,51400,36500,36500,0.9793,5277,6318,3
2010,8,Yale University,New Haven,CT,0.0753,1473,52950,38300,38300,0.9632,5275,6391,3
2011,8,Yale University,New Haven,CT,0.0788,1497,55300,40500,40500,0.9659,5310,6526,3
2012,8,Yale University,New Haven,CT,0.0773,1488,58250,42300,42300,0.9619,5349,6501,3
2013,8,Yale University,New Haven,CT,0.0705,1497,59320,44000,44000,0.9779,5405,6679,3
2014,8,Yale University,New Haven,CT,0.063,1493,61620,45800,45800,0.962,5430,6859,3
2015,8,Yale University,New Haven,CT,0.0673,1498,63970,47600,47600,0.9678,5477,5477,3
2016,8,Yale University,New Haven,CT,0.0632,1496,66445,49480,49480,0.9777,5471,6986,3
2008,60,Yeshiva University,New York,NY,0.6651,1202,19538,32094,32094,0.8253,3017,1423,52
2009,60,Yeshiva University,New York,NY,0.626,1194,46175,32094,32094,0.7781,3061,3375,50
2010,60,Yeshiva University,New York,NY,0.7171,1209,46799,33050,33050,0.8249,2855,3612,52
2011,60,Yeshiva University,New York,NY,0.6936,1213,48435,35200,35200,0.8418,2848,3777,50
2012,60,Yeshiva University,New York,NY,0.8402,1202,50330,36500,36500,0.8403,2805,3878,45
2013,60,Yeshiva University,New York,NY,0.8216,1217,53825,37600,37600,0.8519,2835,3860,46
2014,60,Yeshiva University,New York,NY,0.818,1221,55075,38730,38730,0.8547,2858,3534,47
2015,60,Yeshiva University,New York,NY,0.8049,1229,56555,39530,39530,0.879,2786,2786,48
2016,61,Yeshiva University,New York,NY,0.5075,1181,57355,40670,40670,0.8177,2679,3454,52
