alpha,Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student
1,2013,49,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.757,1085,22909,9861,23654,0.4732,7894,1836
2,2014,49,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.7886,1083,23298,10157,24503,0.5833,8564,2066
3,2015,49,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.7848,1080,24346,10158,25458,0.6406,9150,9150
4,2016,50,Arizona State University-Downtown Phoenix,Phoenix,AZ,0.767,1474,24109,10370,26470,0.6722,9232,2499
5,2008,72,Boston College,Chestnut Hill,MA,0.2624,1340,51400,37950,37950,0.9058,9860,4107
6,2009,72,Boston College,Chestnut Hill,MA,0.3006,1343,52007,39130,39130,0.9128,9779,4960
7,2010,72,Boston College,Chestnut Hill,MA,0.311,1344,52834,40542,40542,0.9096,9836,4973
8,2011,72,Boston College,Chestnut Hill,MA,0.2798,1353,54595,42204,42204,0.9153,9724,4928
9,2012,72,Boston College,Chestnut Hill,MA,0.2881,1357,56708,43878,43878,0.9219,9695,4768
10,2013,72,Boston College,Chestnut Hill,MA,0.3222,1375,58639,45622,45622,0.913,9686,4611
11,2014,72,Boston College,Chestnut Hill,MA,0.3391,1380,60690,47436,47436,0.9131,9601,4461
12,2015,72,Boston College,Chestnut Hill,MA,0.2851,1380,62968,49324,49324,0.9242,9704,9704
13,2016,73,Boston College,Chestnut Hill,MA,0.3114,1078,65595,51296,51296,0.925,9593,4596
14,2008,28,Boston University,Boston,MA,0.5861,1264,39506,37050,37050,0.8004,18733,11002
15,2009,28,Boston University,Boston,MA,0.543,1263,51054,38440,38440,0.8223,18534,13677
16,2010,28,Boston University,Boston,MA,0.5848,1261,53000,39864,39864,0.8279,18283,14013
17,2011,28,Boston University,Boston,MA,0.5797,1272,54836,41420,41420,0.8475,18714,14299
18,2012,28,Boston University,Boston,MA,0.4943,1272,56842,42994,42994,0.8391,18140,14297
19,2013,28,Boston University,Boston,MA,0.4561,1279,59036,44880,44880,0.8448,18306,14246
20,2014,28,Boston University,Boston,MA,0.3451,1300,61396,46664,46664,0.847,18165,14095
21,2015,28,Boston University,Boston,MA,0.3262,1303,63588,48436,48436,0.8526,18017,18017
22,2016,29,Boston University,Boston,MA,0.2943,1202,65809,50240,50240,0.8652,16512,14751
23,2008,81,Brandeis University,Waltham,MA,0.344,1363,16194,37294,37294,0.8913,3233,2131
24,2009,81,Brandeis University,Waltham,MA,0.3238,1367,50148,38762,38762,0.8701,3196,2281
25,2010,81,Brandeis University,Waltham,MA,0.4044,1344,51992,40289,40289,0.9067,3317,2301
26,2011,81,Brandeis University,Waltham,MA,0.3999,1340,53957,41860,41860,0.9118,3341,2324
27,2012,81,Brandeis University,Waltham,MA,0.3911,1340,56395,44294,44294,0.8992,3504,2220
28,2013,81,Brandeis University,Waltham,MA,0.3704,1347,58850,45856,45856,0.8959,3588,2211
29,2014,81,Brandeis University,Waltham,MA,0.3522,1369,61023,47558,47558,0.9085,3614,2216
30,2015,81,Brandeis University,Waltham,MA,0.3402,1360,63222,49598,49598,0.8645,3715,3715
31,2016,82,Brandeis University,Waltham,MA,0.3344,1262,65954,51245,51245,0.8994,3597,2121
32,2008,21,Brown University,Providence,RI,0.1371,1413,50560,37718,37718,0.9435,6008,1814
33,2009,21,Brown University,Providence,RI,0.1117,1420,50560,38848,38848,0.954,6095,2330
34,2010,21,Brown University,Providence,RI,0.0934,1415,52030,40820,40820,0.9559,6244,2387
35,2011,21,Brown University,Providence,RI,0.0891,1387,54370,42230,42230,0.9521,6318,2388
36,2012,21,Brown University,Providence,RI,0.096,1419,56150,43758,43758,0.9515,6380,2450
37,2013,21,Brown University,Providence,RI,0.0918,1425,58140,45612,45612,0.9452,6435,2488
38,2014,21,Brown University,Providence,RI,0.0874,1435,60460,47434,47434,0.9612,6455,2633
39,2015,21,Brown University,Providence,RI,0.0949,1457,62694,49346,49346,0.9597,6548,6548
40,2016,21,Brown University,Providence,RI,0.0931,1289,65380,51366,51366,0.9552,6580,2855
41,2008,4,California Institute of Technology,Pasadena,CA,0.1736,1514,51299,34437,34437,0.8849,913,1205
42,2009,4,California Institute of Technology,Pasadena,CA,0.1527,1514,48990,34584,34584,0.8895,921,1179
43,2010,4,California Institute of Technology,Pasadena,CA,0.1255,1528,49968,36282,36282,0.9034,951,1208
44,2011,4,California Institute of Technology,Pasadena,CA,0.1277,1520,52389,37704,37704,0.867,967,1253
45,2012,4,California Institute of Technology,Pasadena,CA,0.1277,1520,54090,39588,39588,0.919,978,1246
46,2013,4,California Institute of Technology,Pasadena,CA,0.1055,1534,56382,41538,41538,0.9307,997,1204
47,2014,4,California Institute of Technology,Pasadena,CA,0.0883,1545,58755,43362,43362,0.9153,977,1226
48,2015,4,California Institute of Technology,Pasadena,CA,0.0881,1544,60990,45390,45390,0.9084,983,983
49,2016,4,California Institute of Technology,Pasadena,CA,0.0807,1508,63471,47577,47577,0.9364,979,1261
50,2008,19,Carnegie Mellon University,Pittsburgh,PA,0.2889,1392,50148,39564,39564,0.8732,5682,5066
51,2009,19,Carnegie Mellon University,Pittsburgh,PA,0.3626,1392,52150,40920,40920,0.8445,5809,5420
52,2010,19,Carnegie Mellon University,Pittsburgh,PA,0.3332,1395,53660,42136,42136,0.8572,5777,5510
53,2011,19,Carnegie Mellon University,Pittsburgh,PA,0.3044,1402,55286,44010,44010,0.87,5830,5582
54,2012,19,Carnegie Mellon University,Pittsburgh,PA,0.2777,1409,57520,45760,45760,0.8677,5949,6057
55,2013,19,Carnegie Mellon University,Pittsburgh,PA,0.2549,1432,59710,47642,47642,0.8799,5921,6450
56,2014,19,Carnegie Mellon University,Pittsburgh,PA,0.246,1436,61990,49022,49022,0.883,5917,6699
57,2015,19,Carnegie Mellon University,Pittsburgh,PA,0.2372,1448,63804,50665,50665,0.8777,5888,5888
58,2016,19,Carnegie Mellon University,Pittsburgh,PA,0.2171,1302,65877,52310,52310,0.8976,6188,6975
59,2008,44,Case Western Reserve University,Cleveland,OH,0.7332,1308,18303,35202,35202,0.8096,4207,3761
60,2009,44,Case Western Reserve University,Cleveland,OH,0.7001,1340,48052,36238,36238,0.8066,4356,5510
61,2010,44,Case Western Reserve University,Cleveland,OH,0.6669,1345,50128,37648,37648,0.821,4228,5610
62,2011,44,Case Western Reserve University,Cleveland,OH,0.5126,1340,52073,39120,39120,0.7831,4227,5620
63,2012,44,Case Western Reserve University,Cleveland,OH,0.5432,1375,54133,40490,40490,0.7813,4016,5640
64,2013,44,Case Western Reserve University,Cleveland,OH,0.4188,1377,55783,41800,41800,0.8012,4386,5664
65,2014,44,Case Western Reserve University,Cleveland,OH,0.3831,1375,57405,43158,43158,0.8113,4661,5860
66,2015,44,Case Western Reserve University,Cleveland,OH,0.3627,1398,59467,44560,44560,0.8062,4911,4911
67,2016,45,Case Western Reserve University,Cleveland,OH,0.3544,1229,61371,46006,46006,0.8214,5048,6512
68,2008,89,Clark University,Worcester,MA,0.5639,1197,17820,34220,34220,0.7257,2320,950
69,2009,89,Clark University,Worcester,MA,0.6418,1190,42620,35220,35220,0.7803,2380,1083
70,2010,89,Clark University,Worcester,MA,0.6909,1195,43720,36420,36420,0.7744,2333,1134
71,2011,89,Clark University,Worcester,MA,0.6792,1450,44962,37350,37350,0.7953,2317,1151
72,2012,89,Clark University,Worcester,MA,0.7005,1450,45984,38450,38450,0.7975,2311,1151
73,2013,89,Clark University,Worcester,MA,0.6154,1450,47248,39550,39550,0.8094,2352,1171
74,2014,89,Clark University,Worcester,MA,0.5403,1450,48366,40730,40730,0.7782,2380,1122
75,2015,89,Clark University,Worcester,MA,0.5507,1450,49958,41940,41940,0.8285,2301,2301
76,2016,90,Clark University,Worcester,MA,0.5473,1214,51609,43150,43150,0.7548,2248,1009
77,2008,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8555,1113,23036,5874,21590,0.6312,21671,6418
78,2009,86,Colorado State University-Fort Collins,Fort Collins,CO,0.722,1126,17276,6318,22240,0.6351,21937,6681
79,2010,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8052,1127,18054,6985,23095,0.6392,22221,7324
80,2011,86,Colorado State University-Fort Collins,Fort Collins,CO,0.7587,1129,18682,7952,23652,0.635,22831,7392
81,2012,86,Colorado State University-Fort Collins,Fort Collins,CO,0.7471,1129,20152,8649,24441,0.6282,23075,7407
82,2013,86,Colorado State University-Fort Collins,Fort Collins,CO,0.7743,1127,21823,9313,25166,0.6383,23252,7638
83,2014,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8048,1128,22929,9897,26277,0.6525,23548,7756
84,2015,86,Colorado State University-Fort Collins,Fort Collins,CO,0.8082,1145,23137,10558,27267,0.6659,23598,23598
85,2016,87,Colorado State University-Fort Collins,Fort Collins,CO,0.7796,1127,24885,11052,28346,0.6674,23497,6679
86,2008,9,Columbia University in the city of New York,New York,NY,0.1057,1422,50100,39326,39326,0.9257,7285,13502
87,2009,9,Columbia University in the city of New York,New York,NY,0.1101,1445,51406,41316,41316,0.9299,7495,16487
88,2010,9,Columbia University in the city of New York,New York,NY,0.0984,1457,54294,43304,43304,0.9217,7743,17258
89,2011,9,Columbia University in the city of New York,New York,NY,0.0954,1471,56681,45290,45290,0.928,7940,17923
90,2012,9,Columbia University in the city of New York,New York,NY,0.0695,1486,59208,47246,47246,0.9505,8127,18657
91,2013,9,Columbia University in the city of New York,New York,NY,0.0742,1471,61540,49138,49138,0.9329,7814,18987
92,2014,9,Columbia University in the city of New York,New York,NY,0.0695,1470,64144,51008,51008,0.9469,7970,19489
93,2015,9,Columbia University in the city of New York,New York,NY,0.0661,1473,66604,53000,53000,0.9518,8100,8100
94,2016,9,Columbia University in the city of New York,New York,NY,0.0683,1481,69021,55056,55056,0.9411,8124,21248
95,2008,7,Cornell University,Ithaca,NY,0.2066,1395,50384,36504,36504,0.929,13510,5497
96,2009,7,Cornell University,Ithaca,NY,0.191,1391,50384,37954,37954,0.9189,13846,6702
97,2010,7,Cornell University,Ithaca,NY,0.1836,1394,52406,39666,39666,0.9282,13931,7004
98,2011,7,Cornell University,Ithaca,NY,0.1797,1394,54667,41541,41541,0.9349,13935,6964
99,2012,7,Cornell University,Ithaca,NY,0.1655,1410,57116,43413,43413,0.9335,14167,7163
100,2013,7,Cornell University,Ithaca,NY,0.1556,1422,59572,45358,45358,0.9334,14261,7200
101,2014,7,Cornell University,Ithaca,NY,0.1419,1422,61608,47286,47286,0.932,14393,7397
102,2015,7,Cornell University,Ithaca,NY,0.1507,1428,63596,49116,49116,0.9348,14269,14269
103,2016,7,Cornell University,Ithaca,NY,0.1409,1502,65464,50953,50953,0.9388,14471,7753
104,2008,42,Dartmouth College,Hanover,NH,0.1528,1435,50547,36915,36915,0.9484,4164,1324
105,2009,42,Dartmouth College,Hanover,NH,0.1347,1432,50547,38679,38679,0.9424,4147,1791
106,2010,42,Dartmouth College,Hanover,NH,0.1257,1444,52973,40437,40437,0.9535,4196,1893
107,2011,42,Dartmouth College,Hanover,NH,0.1168,1454,55386,42996,42996,0.9497,4248,1950
108,2012,42,Dartmouth College,Hanover,NH,0.1014,1446,58638,45042,45042,0.9583,4194,2084
109,2013,42,Dartmouth College,Hanover,NH,0.0978,1446,61398,46752,46752,0.947,4193,2066
110,2014,42,Dartmouth College,Hanover,NH,0.115,1444,63279,48108,48108,0.9516,4276,2009
111,2015,42,Dartmouth College,Hanover,NH,0.1097,1437,65133,49506,49506,0.9414,4289,4289
112,2016,43,Dartmouth College,Hanover,NH,0.1059,1330,67044,51438,51438,0.9657,4230,2099
113,2008,94,Drexel University,Philadelphia,PA,0.6815,1195,14707,30440,30440,0.6216,13194,7965
114,2009,94,Drexel University,Philadelphia,PA,0.5456,1205,46521,31835,31835,0.6616,13572,9009
115,2010,94,Drexel University,Philadelphia,PA,0.5506,1199,48581,33000,33000,0.6776,13484,9657
116,2011,94,Drexel University,Philadelphia,PA,0.575,1205,50611,34505,34505,0.682,13980,9813
117,2012,94,Drexel University,Philadelphia,PA,0.7486,1216,52535,36090,36090,0.6534,15047,9624
118,2013,94,Drexel University,Philadelphia,PA,0.815,1197,53831,37505,37505,0.6951,15876,9516
119,2014,94,Drexel University,Philadelphia,PA,0.7601,1186,56402,47051,47051,0.6736,16616,9463
120,2015,94,Drexel University,Philadelphia,PA,0.7474,1214,66078,48791,48791,0.6803,16896,16896
121,2016,95,Drexel University,Philadelphia,PA,0.7465,1340,67821,51030,51030,0.6977,15350,8680
122,2008,13,Duke University,Durham,NC,0.2297,1430,52464,37295,37295,0.9505,6394,5884
123,2009,13,Duke University,Durham,NC,0.2238,1440,50974,38741,38741,0.9462,6496,7772
124,2010,13,Duke University,Durham,NC,0.1886,1432,53035,40243,40243,0.9426,6578,8319
125,2011,13,Duke University,Durham,NC,0.1648,1435,55150,41938,41938,0.9437,6697,8747
126,2012,13,Duke University,Durham,NC,0.1399,1435,57325,43623,43623,0.9453,6680,8731
127,2013,13,Duke University,Durham,NC,0.1342,1444,59528,45376,45376,0.9423,6655,8821
128,2014,13,Duke University,Durham,NC,0.1141,1454,61748,47243,47243,0.9485,6646,9230
129,2015,13,Duke University,Durham,NC,0.1142,1450,63999,49241,49241,0.9495,6626,6626
130,2016,13,Duke University,Durham,NC,0.1083,1422,67005,51265,51265,0.9457,6467,9126
131,2008,38,Emory University,Atlanta,GA,0.2717,1384,49027,36336,36336,0.8652,6719,4227
132,2009,38,Emory University,Atlanta,GA,0.2662,1403,49708,38036,38036,0.8803,6890,5950
133,2010,38,Emory University,Atlanta,GA,0.2966,1390,52132,39158,39158,0.8803,6980,6150
134,2011,38,Emory University,Atlanta,GA,0.2887,1363,53556,41164,41164,0.8823,7231,6452
135,2012,38,Emory University,Atlanta,GA,0.2668,1369,55992,42980,42980,0.8926,7441,6580
136,2013,38,Emory University,Atlanta,GA,0.2633,1363,58180,44008,44008,0.8961,7656,6677
137,2014,38,Emory University,Atlanta,GA,0.2682,1366,59908,45008,45008,0.8892,7836,6940
138,2015,38,Emory University,Atlanta,GA,0.2367,1380,61344,46314,46314,0.8936,6880,6880
139,2016,39,Emory University,Atlanta,GA,0.2529,1288,63058,47954,47954,0.9061,6717,7206
140,2008,90,Florida State University,Tallahassee,FL,0.467,1192,26336,3987,18432,0.6953,31595,7641
141,2009,90,Florida State University,Tallahassee,FL,0.6104,1193,16504,4566,19011,0.7141,29869,8982
142,2010,90,Florida State University,Tallahassee,FL,0.5952,1192,16911,5238,19682,0.7356,30806,8998
143,2011,90,Florida State University,Tallahassee,FL,0.5849,1203,18145,5826,20952,0.7384,31418,8886
144,2012,90,Florida State University,Tallahassee,FL,0.5368,1214,20246,6402,21570,0.7513,31594,8524
145,2013,90,Florida State University,Tallahassee,FL,0.5681,1212,20774,6507,21673,0.7695,31652,8381
146,2014,90,Florida State University,Tallahassee,FL,0.5539,1228,21408,6507,21673,0.7913,32528,8278
147,2015,90,Florida State University,Tallahassee,FL,0.559,1215,21463,6507,21673,0.7939,32948,32948
148,2016,91,Florida State University,Tallahassee,FL,0.5801,1144,21938,6507,21673,0.8006,32417,8240
149,2008,66,George Washington University,Washington,DC,0.3671,1283,51153,40422,40422,0.8077,10701,12126
150,2009,66,George Washington University,Washington,DC,0.3737,1276,52707,41655,41655,0.8119,10590,14503
151,2010,66,George Washington University,Washington,DC,0.3675,1287,54125,42905,42905,0.8056,10558,14777
152,2011,66,George Washington University,Washington,DC,0.3169,1300,55625,44148,44148,0.811,10358,14854
153,2012,66,George Washington University,Washington,DC,0.33,1297,57148,45780,45780,0.7963,10406,15189
154,2013,66,George Washington University,Washington,DC,0.3308,1297,58925,47343,47343,0.8083,10240,14907
155,2014,66,George Washington University,Washington,DC,0.4379,1297,61394,48760,48760,0.7938,10357,14873
156,2015,66,George Washington University,Washington,DC,0.4646,1294,63159,50435,50435,0.8308,10433,10433
157,2016,67,George Washington University,Washington,DC,0.4021,1365,65218,51950,51950,0.8371,11244,15655
158,2008,52,Georgetown University,Washington,DC,0.1883,1352,53425,37947,37947,0.9316,7038,5330
159,2009,52,Georgetown University,Washington,DC,0.188,1397,53425,39036,39036,0.9309,7092,9059
160,2010,52,Georgetown University,Washington,DC,0.1978,1397,54954,40203,40203,0.9396,7461,9358
161,2011,52,Georgetown University,Washington,DC,0.2015,1396,56485,41393,41393,0.9379,7579,9540
162,2012,52,Georgetown University,Washington,DC,0.1807,1387,58125,42870,42870,0.9332,7590,9805
163,2013,52,Georgetown University,Washington,DC,0.1697,1398,59900,44805,44805,0.9245,7552,10213
164,2014,52,Georgetown University,Washington,DC,0.1735,1414,62179,46744,46744,0.9491,7636,10263
165,2015,52,Georgetown University,Washington,DC,0.1724,1416,64540,48611,48611,0.9394,7595,7595
166,2016,53,Georgetown University,Washington,DC,0.1685,1445,66971,50547,50547,0.9426,7112,11072
167,2008,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.6335,1321,20743,6040,25182,0.7719,12565,6440
168,2009,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.6091,1323,16052,7506,25716,0.7918,12973,6776
169,2010,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.5879,1320,18240,8716,26926,0.7974,13515,6970
170,2011,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.5169,1329,19793,9652,27862,0.7892,13750,6993
171,2012,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.5118,1349,20859,10098,29402,0.7932,13948,7030
172,2013,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.5493,1352,21980,10650,29954,0.8219,14527,6913
173,2014,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.3338,1400,23216,11394,30698,0.8154,14558,8427
174,2015,23,Georgia Institute of Technology-Main campus,Atlanta,GA,0.3217,1403,24629,12204,32396,0.8478,14682,14682
175,2016,24,Georgia Institute of Technology-Main campus,Atlanta,GA,0.2577,1320,25616,12212,32404,0.8629,14766,11350
176,2008,3,Harvard University,Cambridge,MA,0.0765,1482,50250,36173,36173,0.9759,6764,16340
177,2009,3,Harvard University,Cambridge,MA,0.0719,1468,50250,37012,37012,0.9792,6768,17394
178,2010,3,Harvard University,Cambridge,MA,0.0723,1478,52000,38415,38415,0.9737,10257,17329
179,2011,3,Harvard University,Cambridge,MA,0.0626,1485,53950,39851,39851,0.9743,10257,17087
180,2012,3,Harvard University,Cambridge,MA,0.0581,1497,56000,39966,39966,0.9696,10305,17528
181,2013,3,Harvard University,Cambridge,MA,0.0584,1501,57950,42292,42292,0.9747,10564,17708
182,2014,3,Harvard University,Cambridge,MA,0.0596,1501,59950,43938,43938,0.9752,10538,18453
183,2015,3,Harvard University,Cambridge,MA,0.0558,1497,62250,45278,45278,0.9759,10338,10338
184,2016,3,Harvard University,Cambridge,MA,0.054,1555,64400,47074,47074,0.9723,7447,19993
185,2008,96,Howard University,Washington,DC,0.4852,1129,22277,14685,14685,0.6523,7028,1787
186,2009,96,Howard University,Washington,DC,0.5403,1108,25546,16075,16075,0.6203,7145,3397
187,2010,96,Howard University,Washington,DC,0.5403,1090,27460,18120,18120,0.9114,7005,3447
188,2011,96,Howard University,Washington,DC,0.5447,1050,30127,20171,20171,0.6262,7086,3439
189,2012,96,Howard University,Washington,DC,0.5388,1074,39237,22683,22683,0.6329,7048,3314
190,2013,96,Howard University,Washington,DC,0.493,1081,40129,22683,22683,0.6065,6656,3323
191,2014,96,Howard University,Washington,DC,0.4841,1105,41643,23970,23970,0.6032,6874,3252
192,2015,96,Howard University,Washington,DC,0.4904,1105,43116,23970,23970,0.6056,7013,7013
193,2016,95,Howard University,Washington,DC,0.3,1172,43116,24908,24908,0.6134,5830,3067
194,2008,79,Illinois Institute of Technology,Chicago,IL,0.5718,1241,16003,27513,27513,0.6371,2576,3856
195,2009,79,Illinois Institute of Technology,Chicago,IL,0.6028,1271,39506,29364,29364,0.6573,2639,5042
196,2010,79,Illinois Institute of Technology,Chicago,IL,0.6449,1267,40929,32443,32443,0.6377,2665,5172
197,2011,79,Illinois Institute of Technology,Chicago,IL,0.635,1245,43917,35125,35125,0.6364,2602,5073
198,2012,79,Illinois Institute of Technology,Chicago,IL,0.5433,1226,46731,37969,37969,0.6826,2714,4883
199,2013,79,Illinois Institute of Technology,Chicago,IL,0.5697,1252,48940,40117,40117,0.625,2801,4924
200,2014,79,Illinois Institute of Technology,Chicago,IL,0.506,1266,51572,41645,41645,0.6523,2926,4799
201,2015,79,Illinois Institute of Technology,Chicago,IL,0.5271,1251,53585,43680,43680,0.7259,3099,3099
202,2016,80,Illinois Institute of Technology,Chicago,IL,0.571,1262,57277,45214,45214,0.7139,2859,4786
203,2008,62,Indiana University-Bloomington,Bloomington,IN,0.7069,1164,48052,8231,24769,0.7259,30394,7814
204,2009,62,Indiana University-Bloomington,Bloomington,IN,0.7263,1187,19307,8613,26160,0.735,31626,9857
205,2010,62,Indiana University-Bloomington,Bloomington,IN,0.6915,1184,20099,9028,27689,0.7125,32490,10097
206,2011,62,Indiana University-Bloomington,Bloomington,IN,0.7228,1182,20990,9524,29540,0.7204,32367,10188
207,2012,62,Indiana University-Bloomington,Bloomington,IN,0.7441,1183,22049,10033,31483,0.7533,32543,9762
208,2013,62,Indiana University-Bloomington,Bloomington,IN,0.7217,1198,23043,10209,32350,0.7705,32371,9955
209,2014,62,Indiana University-Bloomington,Bloomington,IN,0.7609,1198,23716,10388,33241,0.7764,36862,9997
210,2015,62,Indiana University-Bloomington,Bloomington,IN,0.7799,1199,24326,10388,33741,0.7706,36419,36419
211,2016,63,Indiana University-Bloomington,Bloomington,IN,0.7872,1434,24432,10388,34246,0.7639,32924,10511
212,2008,91,Iowa State University,Ames,IA,0.8891,1131,19255,6360,17350,0.6736,21004,4718
213,2009,91,Iowa State University,Ames,IA,0.8728,1150,17842,6651,17871,0.6933,21607,5424
214,2010,91,Iowa State University,Ames,IA,0.8505,1148,18284,6997,18563,0.7022,22521,5578
215,2011,91,Iowa State University,Ames,IA,0.8055,1145,18834,7486,19358,0.6751,23104,5268
216,2012,91,Iowa State University,Ames,IA,0.8625,1145,18410,7726,19838,0.7079,24343,5195
217,2013,91,Iowa State University,Ames,IA,0.8252,1145,18820,7726,20278,0.681,25553,5296
218,2014,91,Iowa State University,Ames,IA,0.8691,1145,18828,7731,20617,0.6893,27659,5542
219,2015,91,Iowa State University,Ames,IA,0.8715,1142,18943,7736,20856,0.7137,28893,28893
220,2016,92,Iowa State University,Ames,IA,0.8749,1038,19182,8219,21583,0.7435,30224,5679
221,2008,12,Johns Hopkins University,Baltimore,MD,0.2609,1395,50030,37700,37700,0.8911,5650,13708
222,2009,12,Johns Hopkins University,Baltimore,MD,0.2782,1395,51478,39150,39150,0.9064,5577,14552
223,2010,12,Johns Hopkins University,Baltimore,MD,0.2225,1390,53390,40680,40680,0.9042,5831,15157
224,2011,12,Johns Hopkins University,Baltimore,MD,0.194,1393,55390,42280,42280,0.9112,5820,15159
225,2012,12,Johns Hopkins University,Baltimore,MD,0.1843,1403,57442,43390,43390,0.921,5980,14848
226,2013,12,Johns Hopkins University,Baltimore,MD,0.1813,1418,58980,45470,45470,0.9254,6023,14801
227,2014,12,Johns Hopkins University,Baltimore,MD,0.1608,1439,61481,47060,47060,0.9308,6117,15015
228,2015,12,Johns Hopkins University,Baltimore,MD,0.1412,1453,63509,48710,48710,0.9369,6357,6357
229,2016,12,Johns Hopkins University,Baltimore,MD,0.1284,1460,65473,50410,50410,0.9244,5616,17875
230,2008,95,Lehigh University,Bethlehem,PA,0.2791,1315,20488,37550,37550,0.8504,4756,2118
231,2009,95,Lehigh University,Bethlehem,PA,0.3278,1300,49540,38630,38630,0.8621,4876,2187
232,2010,95,Lehigh University,Bethlehem,PA,0.3789,1304,50982,39780,39780,0.8776,4809,2270
233,2011,95,Lehigh University,Bethlehem,PA,0.3337,1313,52454,40960,40960,0.8692,4781,2186
234,2012,95,Lehigh University,Bethlehem,PA,0.3258,1306,53884,42220,42220,0.8833,4869,2197
235,2013,95,Lehigh University,Bethlehem,PA,0.3084,1322,55441,43520,43520,0.8584,4883,2165
236,2014,95,Lehigh University,Bethlehem,PA,0.3427,1326,57043,44890,44890,0.8739,4931,2057
237,2015,95,Lehigh University,Bethlehem,PA,0.3041,1338,58541,46230,46230,0.8755,5062,5062
238,2016,95,Lehigh University,Bethlehem,PA,0.2611,1142,60391,48320,48320,0.8882,5061,1979
239,2008,1,Massachusetts Institute of Technology,Cambridge,MA,0.1186,1464,51406,36390,36390,0.9355,4163,6146
240,2009,1,Massachusetts Institute of Technology,Cambridge,MA,0.107,1472,50100,37782,37782,0.9136,4153,6152
241,2010,1,Massachusetts Institute of Technology,Cambridge,MA,0.1008,1486,52000,39212,39212,0.9294,4232,6267
242,2011,1,Massachusetts Institute of Technology,Cambridge,MA,0.0973,1490,53210,40732,40732,0.9286,4299,6510
243,2012,1,Massachusetts Institute of Technology,Cambridge,MA,0.0895,1490,55270,42050,42050,0.9281,4384,6686
244,2013,1,Massachusetts Institute of Technology,Cambridge,MA,0.0815,1503,57010,43498,43498,0.9307,4503,6773
245,2015,1,Massachusetts Institute of Technology,Cambridge,MA,0.083,1507,61030,46704,46704,0.9193,4512,4512
246,2016,1,Massachusetts Institute of Technology,Cambridge,MA,0.0794,1476,63250,48452,48452,0.9276,4489,6852
247,2008,37,Michigan State University,East Lansing,MI,0.7003,1146,15127,10214,25672,0.7519,36072,8483
248,2009,37,Michigan State University,East Lansing,MI,0.7242,1144,19930,10880,27343,0.7698,36205,10781
249,2010,37,Michigan State University,East Lansing,MI,0.6998,1161,20695,11152,29108,0.7704,36290,11064
250,2011,37,Michigan State University,East Lansing,MI,0.7294,1160,21403,12202,31148,0.7709,35921,11268
251,2012,37,Michigan State University,East Lansing,MI,0.7056,1158,22946,12622,32580,0.7913,36557,11429
252,2013,37,Michigan State University,East Lansing,MI,0.6865,1158,23740,12862,33750,0.7736,37354,11332
253,2014,37,Michigan State University,East Lansing,MI,0.6609,1158,24323,13200,34965,0.7886,37985,11295
254,2015,37,Michigan State University,East Lansing,MI,0.6628,1159,24976,13560,36360,0.7717,38786,38786
255,2016,38,Michigan State University,East Lansing,MI,0.6574,1397,25809,14062,37890,0.7826,38851,11250
256,2008,18,New York University,New York,NY,0.3221,1342,49540,37372,37372,0.849,21327,17454
257,2009,18,New York University,New York,NY,0.378,1317,51153,38765,38765,0.8577,21269,21766
258,2010,18,New York University,New York,NY,0.381,1340,52952,40082,40082,0.8599,21638,21700
259,2011,18,New York University,New York,NY,0.327,1360,55412,41606,41606,0.8672,22097,21631
260,2012,18,New York University,New York,NY,0.3504,1342,57775,43204,43204,0.8493,22280,22018
261,2013,18,New York University,New York,NY,0.3239,1352,60059,44848,44848,0.8331,22498,21984
262,2014,18,New York University,New York,NY,0.3545,1344,61958,46170,46170,0.8301,24715,24289
263,2015,18,New York University,New York,NY,0.3207,1360,65405,47750,47750,0.8386,24985,24985
264,2016,18,New York University,New York,NY,0.3187,1458,67637,49062,49062,0.8465,25716,24415
265,2008,57,North Carolina State University at Raleigh,Raleigh,NC,0.6032,1158,25195,5286,17584,0.7089,24145,7819
266,2009,57,North Carolina State University at Raleigh,Raleigh,NC,0.5903,1171,16003,5475,17960,0.7292,24741,8564
267,2010,57,North Carolina State University at Raleigh,Raleigh,NC,0.5481,1177,16688,6529,19064,0.7166,25255,9129
268,2011,57,North Carolina State University at Raleigh,Raleigh,NC,0.5421,1181,18329,7018,19853,0.7156,25247,9591
269,2012,57,North Carolina State University at Raleigh,Raleigh,NC,0.5261,1181,19288,7788,20953,0.7062,25176,9507
